10-0.005.txt,0.005,1024,2624,1020
10-0.008.txt,0.008,1024,4242,1023
10-0.01.txt,0.01,1024,5310,1023
10-0.025.txt,0.025,1024,13030,1024
10-0.05.txt,0.05,1024,26260,1024
11-0.005.txt,0.005,2048,10451,2047
11-0.008.txt,0.008,2048,16767,2048
11-0.01.txt,0.01,2048,21059,2048
11-0.025.txt,0.025,2048,52552,2048
11-0.05.txt,0.05,2048,105077,2048
12-0.005.txt,0.005,4096,41955,4096
12-0.008.txt,0.008,4096,67254,4096
12-0.01.txt,0.01,4096,83811,4096
12-0.025.txt,0.025,4096,209706,4096
12-0.05.txt,0.05,4096,418940,4096
13-0.005.txt,0.005,8192,167792,8192
13-0.008.txt,0.008,8192,268382,8192
13-0.01.txt,0.01,8192,335142,8192
13-0.025.txt,0.025,8192,838078,8192
13-0.05.txt,0.05,8192,1678595,8192
14-0.005.txt,0.005,16384,671150,16384
14-0.008.txt,0.008,16384,1074543,16384
14-0.01.txt,0.01,16384,1341734,16384
14-0.025.txt,0.025,16384,3355536,16384
14-0.05.txt,0.05,16384,6710725,16384
15-0.005.txt,0.005,32768,2684292,32768
15-0.008.txt,0.008,32768,4292795,32768
15-0.01.txt,0.01,32768,5367588,32768
15-0.025.txt,0.025,32768,13424677,32768
